countryterritoryCode,countriesAndTerritories,dateRep,cases,deaths
ZMB,Zambia,2020-12-14,57,1
ZMB,Zambia,2020-12-13,56,1
ZMB,Zambia,2020-12-12,70,1
ZMB,Zambia,2020-12-11,29,0
ZMB,Zambia,2020-12-10,99,0
ZMB,Zambia,2020-12-09,32,0
ZMB,Zambia,2020-12-08,15,0
ZMB,Zambia,2020-12-07,18,0
ZMB,Zambia,2020-12-06,41,0
ZMB,Zambia,2020-12-05,127,7
ZMB,Zambia,2020-12-04,30,0
ZMB,Zambia,2020-12-03,35,0
ZMB,Zambia,2020-12-02,18,0
ZMB,Zambia,2020-12-01,39,0
ZMB,Zambia,2020-11-30,19,0
ZMB,Zambia,2020-11-29,20,0
ZMB,Zambia,2020-11-28,16,0
ZMB,Zambia,2020-11-27,18,0
ZMB,Zambia,2020-11-26,69,0
ZMB,Zambia,2020-11-25,12,0
ZMB,Zambia,2020-11-24,30,0
ZMB,Zambia,2020-11-23,30,1
ZMB,Zambia,2020-11-22,21,0
ZMB,Zambia,2020-11-21,23,0
ZMB,Zambia,2020-11-20,70,0
ZMB,Zambia,2020-11-19,37,3
ZMB,Zambia,2020-11-18,56,0
ZMB,Zambia,2020-11-17,64,0
ZMB,Zambia,2020-11-16,26,3
ZMB,Zambia,2020-11-15,4,0
ZMB,Zambia,2020-11-14,57,0
ZMB,Zambia,2020-11-13,0,0
ZMB,Zambia,2020-11-12,39,0
ZMB,Zambia,2020-11-11,26,1
ZMB,Zambia,2020-11-10,17,0
ZMB,Zambia,2020-11-09,46,0
ZMB,Zambia,2020-11-08,89,0
ZMB,Zambia,2020-11-07,49,0
ZMB,Zambia,2020-11-06,72,0
ZMB,Zambia,2020-11-05,37,0
ZMB,Zambia,2020-11-04,118,0
ZMB,Zambia,2020-11-03,63,0
ZMB,Zambia,2020-11-02,48,0
ZMB,Zambia,2020-11-01,17,0
ZMB,Zambia,2020-10-31,90,1
ZMB,Zambia,2020-10-30,0,0
ZMB,Zambia,2020-10-29,82,0
