countryterritoryCode,countriesAndTerritories,dateRep,cases,deaths
ZMB,Zambia,2020-10-28,43,0
ZMB,Zambia,2020-10-27,83,0
ZMB,Zambia,2020-10-26,0,0
ZMB,Zambia,2020-10-25,22,2
ZMB,Zambia,2020-10-24,60,0
ZMB,Zambia,2020-10-23,35,0
ZMB,Zambia,2020-10-22,18,0
ZMB,Zambia,2020-10-21,85,0
ZMB,Zambia,2020-10-20,44,0
ZMB,Zambia,2020-10-19,64,0
ZMB,Zambia,2020-10-18,130,0
ZMB,Zambia,2020-10-17,0,0
ZMB,Zambia,2020-10-16,43,1
ZMB,Zambia,2020-10-15,29,0
ZMB,Zambia,2020-10-14,38,0
ZMB,Zambia,2020-10-13,91,9
ZMB,Zambia,2020-10-12,119,0
ZMB,Zambia,2020-10-11,38,1
ZMB,Zambia,2020-10-10,77,1
ZMB,Zambia,2020-10-09,0,0
ZMB,Zambia,2020-10-08,54,0
ZMB,Zambia,2020-10-07,81,1
ZMB,Zambia,2020-10-06,37,0
ZMB,Zambia,2020-10-05,78,0
ZMB,Zambia,2020-10-04,144,0
ZMB,Zambia,2020-10-03,28,0
ZMB,Zambia,2020-10-02,43,1
ZMB,Zambia,2020-10-01,44,0
ZMB,Zambia,2020-09-30,55,0
ZMB,Zambia,2020-09-29,19,0
ZMB,Zambia,2020-09-28,29,0
ZMB,Zambia,2020-09-27,97,0
ZMB,Zambia,2020-09-26,24,0
ZMB,Zambia,2020-09-25,48,0
ZMB,Zambia,2020-09-24,54,1
ZMB,Zambia,2020-09-23,214,0
ZMB,Zambia,2020-09-22,44,1
ZMB,Zambia,2020-09-21,107,1
ZMB,Zambia,2020-09-20,2,0
ZMB,Zambia,2020-09-19,94,3
ZMB,Zambia,2020-09-18,41,0
ZMB,Zambia,2020-09-17,68,2
ZMB,Zambia,2020-09-16,99,4
ZMB,Zambia,2020-09-15,181,8
ZMB,Zambia,2020-09-14,73,0
ZMB,Zambia,2020-09-13,143,6
ZMB,Zambia,2020-09-12,109,6
ZMB,Zambia,2020-09-11,102,0
ZMB,Zambia,2020-09-10,160,4
ZMB,Zambia,2020-09-09,116,1
ZMB,Zambia,2020-09-08,60,0
ZMB,Zambia,2020-09-07,67,3
ZMB,Zambia,2020-09-06,70,0
ZMB,Zambia,2020-09-05,116,0
ZMB,Zambia,2020-09-04,108,0
ZMB,Zambia,2020-09-03,34,2
ZMB,Zambia,2020-09-02,284,2
ZMB,Zambia,2020-09-01,72,1
ZMB,Zambia,2020-08-31,123,3
ZMB,Zambia,2020-08-30,123,1
ZMB,Zambia,2020-08-29,178,1
ZMB,Zambia,2020-08-28,225,0
ZMB,Zambia,2020-08-27,91,0
ZMB,Zambia,2020-08-26,137,2
ZMB,Zambia,2020-08-25,66,0
ZMB,Zambia,2020-08-24,455,3
ZMB,Zambia,2020-08-23,0,0
ZMB,Zambia,2020-08-22,255,3
ZMB,Zambia,2020-08-21,154,5
ZMB,Zambia,2020-08-20,237,5
ZMB,Zambia,2020-08-19,142,0
ZMB,Zambia,2020-08-18,496,4
ZMB,Zambia,2020-08-17,157,0
ZMB,Zambia,2020-08-16,165,4
ZMB,Zambia,2020-08-15,358,10
ZMB,Zambia,2020-08-14,162,0
ZMB,Zambia,2020-08-13,226,5
ZMB,Zambia,2020-08-12,65,0
ZMB,Zambia,2020-08-11,125,6
ZMB,Zambia,2020-08-10,182,32
ZMB,Zambia,2020-08-09,417,3
ZMB,Zambia,2020-08-08,322,1
ZMB,Zambia,2020-08-07,142,23
ZMB,Zambia,2020-08-06,442,5
ZMB,Zambia,2020-08-05,0,0
ZMB,Zambia,2020-08-04,233,1
ZMB,Zambia,2020-08-03,119,5
ZMB,Zambia,2020-08-02,265,14
ZMB,Zambia,2020-08-01,408,2
ZMB,Zambia,2020-07-31,306,3
ZMB,Zambia,2020-07-30,247,4
ZMB,Zambia,2020-07-29,450,2
ZMB,Zambia,2020-07-28,71,1
ZMB,Zambia,2020-07-27,153,9
ZMB,Zambia,2020-07-26,472,0
ZMB,Zambia,2020-07-25,273,2
ZMB,Zambia,2020-07-24,0,0
ZMB,Zambia,2020-07-23,257,8
ZMB,Zambia,2020-07-22,0,0
ZMB,Zambia,2020-07-21,346,11
ZMB,Zambia,2020-07-20,0,0
ZMB,Zambia,2020-07-19,170,0
ZMB,Zambia,2020-07-18,527,27
ZMB,Zambia,2020-07-17,0,0
ZMB,Zambia,2020-07-16,0,0
ZMB,Zambia,2020-07-15,388,40
ZMB,Zambia,2020-07-14,0,0
ZMB,Zambia,2020-07-13,0,0
ZMB,Zambia,2020-07-12,0,0
ZMB,Zambia,2020-07-11,0,0
ZMB,Zambia,2020-07-10,0,0
ZMB,Zambia,2020-07-09,0,0
ZMB,Zambia,2020-07-08,263,12
ZMB,Zambia,2020-07-07,0,0
ZMB,Zambia,2020-07-06,0,0
ZMB,Zambia,2020-07-05,0,0
ZMB,Zambia,2020-07-04,0,0
ZMB,Zambia,2020-07-03,0,0
ZMB,Zambia,2020-07-02,38,6
ZMB,Zambia,2020-07-01,26,2
ZMB,Zambia,2020-06-30,11,0
ZMB,Zambia,2020-06-29,26,1
ZMB,Zambia,2020-06-28,0,0
ZMB,Zambia,2020-06-27,34,3
ZMB,Zambia,2020-06-26,8,0
ZMB,Zambia,2020-06-25,12,0
ZMB,Zambia,2020-06-24,47,7
ZMB,Zambia,2020-06-23,0,0
ZMB,Zambia,2020-06-22,0,0
ZMB,Zambia,2020-06-21,0,0
ZMB,Zambia,2020-06-20,14,0
ZMB,Zambia,2020-06-19,4,0
ZMB,Zambia,2020-06-18,7,0
ZMB,Zambia,2020-06-17,23,0
ZMB,Zambia,2020-06-16,24,0
ZMB,Zambia,2020-06-15,1,1
ZMB,Zambia,2020-06-14,36,0
ZMB,Zambia,2020-06-13,69,0
ZMB,Zambia,2020-06-12,0,0
ZMB,Zambia,2020-06-11,52,0
ZMB,Zambia,2020-06-10,0,0
ZMB,Zambia,2020-06-09,46,3
ZMB,Zambia,2020-06-08,0,0
ZMB,Zambia,2020-06-07,43,0
ZMB,Zambia,2020-06-06,0,0
ZMB,Zambia,2020-06-05,22,0
ZMB,Zambia,2020-06-04,0,0
ZMB,Zambia,2020-06-03,0,0
ZMB,Zambia,2020-06-02,32,0
ZMB,Zambia,2020-06-01,0,0
ZMB,Zambia,2020-05-31,0,0
ZMB,Zambia,2020-05-30,0,0
ZMB,Zambia,2020-05-29,0,0
ZMB,Zambia,2020-05-28,137,0
ZMB,Zambia,2020-05-27,0,0
ZMB,Zambia,2020-05-26,0,0
ZMB,Zambia,2020-05-25,0,0
ZMB,Zambia,2020-05-24,0,0
ZMB,Zambia,2020-05-23,54,0
ZMB,Zambia,2020-05-22,34,0
ZMB,Zambia,2020-05-21,60,0
ZMB,Zambia,2020-05-20,11,0
ZMB,Zambia,2020-05-19,8,0
ZMB,Zambia,2020-05-18,74,0
ZMB,Zambia,2020-05-17,11,0
ZMB,Zambia,2020-05-16,14,0
ZMB,Zambia,2020-05-15,208,0
ZMB,Zambia,2020-05-14,5,0
ZMB,Zambia,2020-05-13,174,0
ZMB,Zambia,2020-05-12,0,0
ZMB,Zambia,2020-05-11,15,0
ZMB,Zambia,2020-05-10,85,3
ZMB,Zambia,2020-05-09,14,0
ZMB,Zambia,2020-05-08,7,0
ZMB,Zambia,2020-05-07,7,0
ZMB,Zambia,2020-05-06,2,1
ZMB,Zambia,2020-05-05,13,0
ZMB,Zambia,2020-05-04,5,0
ZMB,Zambia,2020-05-03,10,0
ZMB,Zambia,2020-05-02,3,0
ZMB,Zambia,2020-05-01,9,0
ZMB,Zambia,2020-04-30,2,0
ZMB,Zambia,2020-04-29,6,0
ZMB,Zambia,2020-04-28,1,0
ZMB,Zambia,2020-04-27,4,0
ZMB,Zambia,2020-04-26,0,0
ZMB,Zambia,2020-04-25,8,0
ZMB,Zambia,2020-04-24,2,0
ZMB,Zambia,2020-04-23,9,0
ZMB,Zambia,2020-04-22,0,0
ZMB,Zambia,2020-04-21,4,0
ZMB,Zambia,2020-04-20,4,1
ZMB,Zambia,2020-04-19,5,0
ZMB,Zambia,2020-04-18,4,0
ZMB,Zambia,2020-04-17,0,0
ZMB,Zambia,2020-04-16,3,0
ZMB,Zambia,2020-04-15,0,0
ZMB,Zambia,2020-04-14,2,0
ZMB,Zambia,2020-04-13,3,0
ZMB,Zambia,2020-04-12,0,0
ZMB,Zambia,2020-04-11,1,1
ZMB,Zambia,2020-04-10,0,0
ZMB,Zambia,2020-04-09,0,0
ZMB,Zambia,2020-04-08,0,0
ZMB,Zambia,2020-04-07,0,0
ZMB,Zambia,2020-04-06,0,0
ZMB,Zambia,2020-04-05,0,0
ZMB,Zambia,2020-04-04,0,0
ZMB,Zambia,2020-04-03,3,1
ZMB,Zambia,2020-04-02,1,0
ZMB,Zambia,2020-04-01,0,0
ZMB,Zambia,2020-03-31,6,0
ZMB,Zambia,2020-03-30,1,0
ZMB,Zambia,2020-03-29,12,0
ZMB,Zambia,2020-03-28,2,0
ZMB,Zambia,2020-03-27,2,0
ZMB,Zambia,2020-03-26,9,0
ZMB,Zambia,2020-03-25,0,0
ZMB,Zambia,2020-03-24,0,0
ZMB,Zambia,2020-03-23,1,0
ZMB,Zambia,2020-03-22,0,0
ZMB,Zambia,2020-03-21,0,0
ZMB,Zambia,2020-03-20,0,0
ZMB,Zambia,2020-03-19,2,0
