countryterritoryCode,countriesAndTerritories,dateRep,cases,deaths
TGO,Togo,2020-07-01,7,0
TGO,Togo,2020-06-30,1,0
TGO,Togo,2020-06-29,27,0
TGO,Togo,2020-06-28,24,0
TGO,Togo,2020-06-27,3,0
TGO,Togo,2020-06-26,5,0
TGO,Togo,2020-06-25,7,1
TGO,Togo,2020-06-24,7,0
TGO,Togo,2020-06-23,0,0
TGO,Togo,2020-06-22,8,0
TGO,Togo,2020-06-21,6,0
TGO,Togo,2020-06-20,8,0
TGO,Togo,2020-06-19,3,0
TGO,Togo,2020-06-18,7,0
TGO,Togo,2020-06-17,5,0
TGO,Togo,2020-06-16,1,0
TGO,Togo,2020-06-15,1,0
TGO,Togo,2020-06-14,5,0
TGO,Togo,2020-06-13,1,0
TGO,Togo,2020-06-12,2,0
TGO,Togo,2020-06-11,21,0
TGO,Togo,2020-06-10,4,0
TGO,Togo,2020-06-09,2,0
TGO,Togo,2020-06-08,8,0
TGO,Togo,2020-06-07,2,0
TGO,Togo,2020-06-06,20,0
TGO,Togo,2020-06-05,13,0
TGO,Togo,2020-06-04,7,0
TGO,Togo,2020-06-03,2,0
TGO,Togo,2020-06-02,1,0
TGO,Togo,2020-06-01,9,0
TGO,Togo,2020-05-31,5,0
TGO,Togo,2020-05-30,6,0
TGO,Togo,2020-05-29,27,0
TGO,Togo,2020-05-28,4,0
TGO,Togo,2020-05-27,5,0
TGO,Togo,2020-05-26,5,1
TGO,Togo,2020-05-25,8,0
TGO,Togo,2020-05-24,10,0
TGO,Togo,2020-05-23,9,0
TGO,Togo,2020-05-22,14,0
TGO,Togo,2020-05-21,2,0
TGO,Togo,2020-05-20,8,0
TGO,Togo,2020-05-19,29,1
TGO,Togo,2020-05-18,3,0
TGO,Togo,2020-05-17,35,0
TGO,Togo,2020-05-16,25,0
TGO,Togo,2020-05-15,19,0
TGO,Togo,2020-05-14,20,0
TGO,Togo,2020-05-13,18,0
TGO,Togo,2020-05-12,7,0
TGO,Togo,2020-05-11,21,1
TGO,Togo,2020-05-10,8,0
TGO,Togo,2020-05-09,10,1
TGO,Togo,2020-05-08,7,0
TGO,Togo,2020-05-07,0,0
TGO,Togo,2020-05-06,2,0
TGO,Togo,2020-05-05,2,0
TGO,Togo,2020-05-04,1,0
TGO,Togo,2020-05-03,0,0
TGO,Togo,2020-05-02,7,0
TGO,Togo,2020-05-01,7,2
TGO,Togo,2020-04-30,10,1
TGO,Togo,2020-04-29,0,0
TGO,Togo,2020-04-28,1,0
TGO,Togo,2020-04-27,2,0
TGO,Togo,2020-04-26,6,0
TGO,Togo,2020-04-25,2,0
TGO,Togo,2020-04-24,0,0
TGO,Togo,2020-04-23,2,0
TGO,Togo,2020-04-22,2,0
TGO,Togo,2020-04-21,0,1
TGO,Togo,2020-04-20,0,0
TGO,Togo,2020-04-19,1,0
TGO,Togo,2020-04-18,2,0
TGO,Togo,2020-04-17,0,2
TGO,Togo,2020-04-16,4,0
TGO,Togo,2020-04-15,0,0
TGO,Togo,2020-04-14,1,0
TGO,Togo,2020-04-13,0,0
TGO,Togo,2020-04-12,0,0
TGO,Togo,2020-04-11,3,0
TGO,Togo,2020-04-10,3,0
TGO,Togo,2020-04-09,5,0
TGO,Togo,2020-04-08,7,0
TGO,Togo,2020-04-07,14,0
TGO,Togo,2020-04-06,3,0
TGO,Togo,2020-04-05,1,0
TGO,Togo,2020-04-04,1,1
TGO,Togo,2020-04-03,3,0
TGO,Togo,2020-04-02,2,1
TGO,Togo,2020-04-01,0,0
TGO,Togo,2020-03-31,4,0
TGO,Togo,2020-03-30,2,0
TGO,Togo,2020-03-29,3,0
TGO,Togo,2020-03-28,1,1
TGO,Togo,2020-03-27,1,0
TGO,Togo,2020-03-26,5,0
TGO,Togo,2020-03-25,0,0
TGO,Togo,2020-03-24,3,0
TGO,Togo,2020-03-23,0,0
TGO,Togo,2020-03-22,6,0
TGO,Togo,2020-03-21,8,0
TGO,Togo,2020-03-20,0,0
TGO,Togo,2020-03-19,0,0
TGO,Togo,2020-03-18,0,0
TGO,Togo,2020-03-17,0,0
TGO,Togo,2020-03-16,0,0
TGO,Togo,2020-03-15,0,0
TGO,Togo,2020-03-07,1,0
